,competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo,Descrição
10585536,202207,3,35,355030,J,6319400,1,212205,101,5,24.0,48.0,1,1,0,1,97,0,0,0,11461.54,9,0,1,202207,0,5,11461.54,Engenheiro de Aplicativos em Computacao
10585541,202207,3,35,355030,J,6209100,1,212205,101,8,45.0,44.0,3,1,0,1,97,0,0,9,16000.0,10,0,1,202207,0,5,16000.0,Engenheiro de Aplicativos em Computacao
10585542,202207,3,35,355030,J,6204000,-1,212205,101,5,26.0,40.0,3,1,0,1,40,0,0,0,3910.68,10,0,1,202207,0,5,3910.68,Engenheiro de Aplicativos em Computacao
10585544,202207,3,35,355030,N,8299702,1,212205,101,5,24.0,44.0,6,1,0,1,97,0,0,9,16200.0,7,0,1,202207,0,5,16200.0,Engenheiro de Aplicativos em Computacao
10585545,202207,3,35,355030,J,6204000,1,212205,101,5,24.0,40.0,3,3,0,1,97,0,0,0,3200.0,10,0,1,202207,0,5,3200.0,Engenheiro de Aplicativos em Computacao
10585546,202207,3,35,355030,J,6201501,1,212205,101,5,25.0,40.0,1,3,0,1,97,0,0,0,15000.0,8,0,1,202207,0,5,15000.0,Engenheiro de Aplicativos em Computacao
10585549,202207,3,35,355030,J,6201501,-1,212205,101,5,27.0,44.0,1,1,0,1,40,0,0,9,12359.0,9,0,1,202207,0,5,12359.0,Engenheiro de Aplicativos em Computacao
10585554,202207,3,35,355030,J,6319400,1,212205,101,5,36.0,48.0,3,1,0,1,97,0,0,0,22140.0,1,0,1,202207,0,5,22140.0,Engenheiro de Aplicativos em Computacao
10585555,202207,3,35,355030,J,6202300,-1,212205,101,4,25.0,40.0,1,1,0,1,31,0,0,0,8000.0,7,0,1,202207,0,5,8000.0,Engenheiro de Aplicativos em Computacao
10585560,202207,3,35,355030,K,6436100,1,212205,101,5,31.0,40.0,1,3,0,1,97,0,0,0,21497.0,7,0,1,202207,0,5,21497.0,Engenheiro de Aplicativos em Computacao
10585562,202207,3,35,355030,J,6399200,1,212205,101,6,26.0,40.0,1,1,0,1,97,0,0,0,8000.0,3,0,1,202207,0,5,8000.0,Engenheiro de Aplicativos em Computacao
10585563,202207,3,35,355030,M,7490104,-1,212205,101,5,31.0,40.0,6,1,0,1,40,0,0,0,12942.5,7,0,1,202207,0,5,12942.5,Engenheiro de Aplicativos em Computacao
10585564,202207,3,35,355030,N,8299702,1,212205,101,5,41.0,44.0,6,1,0,1,97,0,0,9,16200.0,7,0,1,202207,0,5,16200.0,Engenheiro de Aplicativos em Computacao
10585565,202207,3,35,355030,N,7810800,-1,212205,101,3,26.0,40.0,6,1,0,1,40,0,0,0,35000.0,7,0,1,202207,0,5,35000.0,Engenheiro de Aplicativos em Computacao
10585566,202207,3,35,355030,M,7020400,-1,212205,101,5,26.0,40.0,1,3,0,1,40,0,0,0,6500.0,5,0,1,202207,0,5,6500.0,Engenheiro de Aplicativos em Computacao
10585570,202207,3,35,355030,G,4763602,-1,212205,101,8,31.0,44.0,1,1,0,1,40,0,0,0,12884.5,10,0,1,202207,0,5,12884.5,Engenheiro de Aplicativos em Computacao
10585575,202206,3,35,355030,J,6203100,-1,212205,101,5,26.0,40.0,6,1,0,1,40,0,0,0,16778.85,6,0,1,202206,0,5,16778.85,Engenheiro de Aplicativos em Computacao
10585576,202206,3,35,355030,J,6311900,1,212205,101,8,44.0,48.0,1,1,0,1,97,0,0,0,36923.08,8,0,1,202206,0,5,36923.08,Engenheiro de Aplicativos em Computacao
10585582,202206,3,35,355030,J,6202300,-1,212205,101,5,43.0,40.0,1,1,0,1,40,0,0,0,13399.86,7,0,1,202206,0,5,13399.86,Engenheiro de Aplicativos em Computacao
10585584,202206,3,35,355030,J,6201501,1,212205,101,5,26.0,44.0,3,1,0,1,97,0,0,9,13000.0,9,0,1,202206,0,5,13000.0,Engenheiro de Aplicativos em Computacao
10585587,202206,3,35,355030,J,6204000,1,212205,101,5,29.0,40.0,3,3,0,1,97,0,0,0,5000.0,10,0,1,202206,0,5,5000.0,Engenheiro de Aplicativos em Computacao
