,Unnamed: 0,competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo,Descrição
602,2445580,202207,3,35,355030,J,6209100,-1,212420,101,8,26.0,44.0,2,1,0,1,40,0,0,0,1846.04,3,0,1,202207,0,5,1846.04,Analista de Suporte Computacional
603,2445581,202207,3,35,355030,G,4763602,1,212420,101,9,40.0,44.0,1,3,0,1,97,0,0,0,8000.0,8,0,1,202207,0,5,8000.0,Analista de Suporte Computacional
604,2445582,202207,3,35,355030,J,6201501,-1,212420,101,9,23.0,40.0,6,1,0,1,40,0,0,0,2500.0,9,0,1,202207,0,5,2500.0,Analista de Suporte Computacional
605,2445593,202207,3,35,355030,J,6209100,1,212420,101,9,25.0,40.0,6,3,0,1,97,0,0,0,4000.0,5,0,1,202207,0,5,4000.0,Analista de Suporte Computacional
606,2445597,202207,3,35,355030,N,7740300,-1,212420,101,7,24.0,44.0,1,1,0,1,40,0,0,0,2341.0,9,0,1,202207,0,5,2341.0,Analista de Suporte Computacional
607,2445599,202207,3,35,355030,N,7820500,1,212420,101,9,25.0,40.0,3,1,0,1,97,0,0,0,2167.0,8,0,1,202207,0,5,2167.0,Analista de Suporte Computacional
608,2445600,202207,3,35,355030,J,6201501,1,212420,101,7,26.0,40.0,1,1,0,1,97,0,0,0,2500.0,7,0,1,202207,0,5,2500.0,Analista de Suporte Computacional
609,2445608,202207,3,35,355030,J,6204000,-1,212420,101,7,42.0,40.0,1,1,0,1,31,0,0,0,1500.0,5,0,1,202207,0,5,1500.0,Analista de Suporte Computacional
610,2445611,202207,3,35,355030,G,4789004,-1,212420,101,9,46.0,44.0,1,3,0,1,31,0,0,0,4000.0,8,0,1,202207,0,5,4000.0,Analista de Suporte Computacional
611,2445614,202207,3,35,355030,J,6203100,-1,212420,101,80,41.0,44.0,6,1,0,1,31,0,0,0,2058.88,3,0,1,202207,0,5,2058.88,Analista de Suporte Computacional
612,2445628,202207,3,35,355030,J,6209100,1,212420,101,9,32.0,40.0,6,1,0,1,97,0,0,0,2600.0,9,0,1,202207,0,5,2600.0,Analista de Suporte Computacional
613,2445633,202207,3,35,355030,J,6204000,-1,212420,101,9,24.0,40.0,3,1,0,1,40,0,0,0,3247.69,10,0,1,202207,0,5,3247.69,Analista de Suporte Computacional
614,2445635,202207,3,35,355030,L,6821802,1,212420,101,9,29.0,40.0,1,1,0,1,97,0,0,0,10354.99,7,0,1,202207,0,5,10354.99,Analista de Suporte Computacional
615,2445637,202207,3,35,355030,J,6209100,1,212420,101,9,20.0,40.0,6,1,0,1,97,0,0,0,1750.0,9,0,1,202207,0,5,1750.0,Analista de Suporte Computacional
616,2445638,202207,3,35,355030,J,6201501,1,212420,101,7,30.0,40.0,6,3,0,1,97,0,0,0,2540.0,6,0,1,202207,0,5,2540.0,Analista de Suporte Computacional
617,2445640,202207,3,35,355030,N,7810800,1,212420,106,80,32.0,44.0,1,3,0,1,97,0,0,0,2998.94,1,0,1,202207,0,5,2998.94,Analista de Suporte Computacional
618,2445641,202207,3,35,355030,J,6203100,1,212420,101,9,28.0,40.0,3,3,0,1,97,0,0,0,6500.0,10,0,1,202207,0,5,6500.0,Analista de Suporte Computacional
619,2445642,202207,3,35,355030,J,6204000,1,212420,101,9,38.0,40.0,6,1,0,1,97,0,0,0,2033.6,6,0,1,202207,0,5,2033.6,Analista de Suporte Computacional
620,2445645,202207,3,35,355030,M,7311400,1,212420,101,9,31.0,40.0,1,3,0,1,97,0,0,0,2500.0,7,0,1,202207,0,5,2500.0,Analista de Suporte Computacional
621,2445647,202207,3,35,355030,K,6612601,-1,212420,101,10,36.0,44.0,2,1,0,1,40,0,0,0,15777.88,7,0,1,202207,0,5,15777.88,Analista de Suporte Computacional
622,2445667,202207,3,35,355030,J,6209100,1,212420,101,8,20.0,44.0,1,1,0,1,97,0,0,0,2100.0,5,0,1,202207,0,5,2100.0,Analista de Suporte Computacional
623,2445669,202207,3,35,355030,N,8220200,1,212420,101,8,29.0,44.0,1,1,0,1,97,0,0,0,2027.82,7,0,1,202207,0,5,2027.82,Analista de Suporte Computacional
624,2445672,202207,3,35,355030,J,6202300,1,212420,101,9,30.0,40.0,1,1,0,1,97,0,0,0,5380.0,2,0,1,202207,0,5,5380.0,Analista de Suporte Computacional
625,2445676,202207,3,35,355030,J,6209100,1,212420,101,9,23.0,40.0,6,1,0,1,97,0,0,0,1800.0,9,0,1,202207,0,5,1800.0,Analista de Suporte Computacional
626,2445681,202207,3,35,355030,J,6311900,1,212420,101,9,44.0,40.0,1,1,0,1,97,0,0,0,2093.39,2,0,1,202207,0,5,2093.39,Analista de Suporte Computacional
627,2445682,202207,3,35,355030,M,7490104,-1,212420,101,9,32.0,44.0,6,3,0,1,40,0,0,0,4000.0,5,0,1,202207,0,5,4000.0,Analista de Suporte Computacional
628,2445683,202207,3,35,355030,J,6203100,-1,212420,101,9,24.0,40.0,3,1,0,1,40,0,0,0,7624.39,7,0,1,202207,0,5,7624.39,Analista de Suporte Computacional
629,2445684,202207,3,35,355030,J,6201501,1,212420,101,9,30.0,40.0,1,1,0,1,97,0,0,0,1880.0,9,0,1,202207,0,5,1880.0,Analista de Suporte Computacional
630,2445685,202207,3,35,355030,J,6201501,1,212420,101,8,28.0,40.0,3,3,0,1,97,0,0,0,2000.0,7,0,1,202207,0,5,2000.0,Analista de Suporte Computacional
631,2445693,202207,3,35,355030,J,6209100,1,212420,101,9,22.0,37.5,2,1,0,1,97,0,0,0,3405.0,5,0,1,202207,0,5,3405.0,Analista de Suporte Computacional
